config,identity,path,is_masked_truth,is_genuine,mask_detector_says_masked,routed_mode,top_similarity,top_match
naive,huojianhua,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\huojianhua\0_0_21.jpg,True,True,True,full,0.2050301879644394,liushishi
naive,zhaoyazhi,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\zhaoyazhi\1_0_zhaoyazhi_0198.jpg,False,True,False,full,0.46311020851135254,zhaoyazhi
naive,Carlos_Moya,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Carlos_Moya\Carlos_Moya_0002.jpg,False,False,False,full,0.11475461721420288,wangzuxian
naive,xiaozhan,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\xiaozhan\0_0_28.jpg,True,True,True,full,0.2582663893699646,xiaozhan
naive,zhangshaohan,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\zhangshaohan\0_0_3.jpg,True,True,True,full,0.15580511093139648,daipeini
naive,lvyi,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\lvyi\1_0_lvyi_0136.jpg,False,True,False,full,0.2720138430595398,wangou
naive,daipeini,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\daipeini\1_0_daipeini_0001.jpg,False,True,False,full,0.4853149652481079,daipeini
naive,linyichen,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\linyichen\1_0_linyichen_0328.jpg,False,True,False,full,0.1961430311203003,zhaoliying
naive,Bernard_Law,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Bernard_Law\Bernard_Law_0005.jpg,False,False,False,full,0.13346102833747864,zhangshaohan
naive,huangzitao,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\huangzitao\1_0_huangzitao_0108.jpg,False,True,False,full,0.6773836016654968,huangzitao
naive,Ben_Betts,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Ben_Betts\Ben_Betts_0001.jpg,False,False,False,full,0.1360606700181961,wulei
naive,shaofeng,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\shaofeng\1_0_shaofeng_0001.jpg,False,True,False,full,0.530182957649231,shaofeng
naive,Thomas_Bjorn,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Thomas_Bjorn\Thomas_Bjorn_0002.jpg,False,False,False,full,0.13941580057144165,maoxiaotong
naive,Intisar_Ajouri,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Intisar_Ajouri\Intisar_Ajouri_0003.jpg,False,False,False,full,0.14091767370700836,hejiong
naive,Elena_Tihomirova,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Elena_Tihomirova\Elena_Tihomirova_0001.jpg,False,False,False,full,0.12616512179374695,zhangxueying
naive,Nicanor_Duarte_Frutos,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Nicanor_Duarte_Frutos\Nicanor_Duarte_Frutos_0010.jpg,False,False,False,full,0.130339577794075,xiaozhan
naive,huangzitao,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\huangzitao\0_0_2.jpg,True,True,False,full,0.33795803785324097,huangzitao
naive,zhangtianai,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\zhangtianai\0_0_8.jpg,True,True,True,full,0.15360748767852783,huojianhua
naive,Bernard_Law,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Bernard_Law\Bernard_Law_0001.jpg,False,False,False,full,0.11968498677015305,zhangbinbin
naive,Tyra_Banks,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Tyra_Banks\Tyra_Banks_0002.jpg,False,False,False,full,0.1532139778137207,zhouxun
naive,Michael_Phelps,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Michael_Phelps\Michael_Phelps_0002.jpg,False,False,False,full,0.15635542571544647,huangrihua
naive,Martha_Lucia_Ramirez,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Martha_Lucia_Ramirez\Martha_Lucia_Ramirez_0002.jpg,False,False,False,full,0.14236071705818176,xiongdailin
naive,zhangyi,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\zhangyi\0_0_0.jpg,True,True,True,full,0.25010138750076294,zhangyi
naive,xuhao,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\xuhao\0_0_0.jpg,True,True,False,full,0.5023087859153748,xuhao
naive,Boris_Henry,C:\Users\tahak\ogproject\adaptiveface\data\lfw\Boris_Henry\Boris_Henry_0001.jpg,False,False,False,full,0.14367857575416565,jianailiang
naive,lianghanwen,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\lianghanwen\1_0_lianghanwen_0181.jpg,False,True,False,full,0.22912082076072693,yumenglong
naive,zhangluyi,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\zhangluyi\0_0_0.png,True,True,True,full,0.28526782989501953,zhangluyi
naive,maqiguang,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\maqiguang\1_0_maqiguang_0041.jpg,False,True,False,full,0.3400622606277466,maqiguang
naive,liushishi,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\liushishi\1_0_liushishi_0149.jpg,False,True,False,full,0.26332083344459534,jiangkaitong
naive,guojingjing,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\guojingjing\0_0_guojingjing_0211.jpg,False,True,False,full,0.4261454939842224,guojingjing
naive,luozhixiang,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\luozhixiang\0_0_4.jpg,True,True,True,full,0.2571033537387848,yangqianhua
naive,jianghongbo,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_masked_face_dataset\jianghongbo\0_0_0.jpg,True,True,True,full,0.24227818846702576,tanweiwei
naive,yingcaier,C:\Users\tahak\ogproject\adaptiveface\data\rmfd\AFDB_face_dataset\yingcaier\1_0_yingcaier_0018.jpg,False,True,False,full,0.2800155282020569,zhangliangying
